0.21875 0.40625 0.28125
0.21875 0.46875 0.28125
0.15625 0.46875 0.28125
0.15625 0.40625 0.28125
0.15625 0.40625 0.34375
0.15625 0.46875 0.34375
0.09375 0.46875 0.34375
0.09375 0.40625 0.34375
0.09375 0.40625 0.28125
0.09375 0.46875 0.28125
0.03125 0.46875 0.28125
0.03125 0.40625 0.28125
0.03125 0.40625 0.34375
0.03125 0.46875 0.34375
0.03125 0.46875 0.40625
0.03125 0.46875 0.46875
0.09375 0.46875 0.46875
0.09375 0.46875 0.40625
0.09375 0.40625 0.40625
0.09375 0.40625 0.46875
0.03125 0.40625 0.46875
0.03125 0.40625 0.40625
0.03125 0.34375 0.40625
0.03125 0.34375 0.46875
0.09375 0.34375 0.46875
0.09375 0.34375 0.40625
0.09375 0.28125 0.40625
0.09375 0.28125 0.46875
0.03125 0.28125 0.46875
0.03125 0.28125 0.40625
0.03125 0.28125 0.34375
0.03125 0.34375 0.34375
0.03125 0.34375 0.28125
0.03125 0.28125 0.28125
0.09375 0.28125 0.28125
0.09375 0.34375 0.28125
0.09375 0.34375 0.34375
0.09375 0.28125 0.34375
0.15625 0.28125 0.34375
0.15625 0.34375 0.34375
0.15625 0.34375 0.28125
0.15625 0.28125 0.28125
0.21875 0.28125 0.28125
0.21875 0.34375 0.28125
0.21875 0.34375 0.34375
0.21875 0.28125 0.34375
0.21875 0.28125 0.40625
0.15625 0.28125 0.40625
0.15625 0.34375 0.40625
0.21875 0.34375 0.40625
0.21875 0.34375 0.46875
0.15625 0.34375 0.46875
0.15625 0.28125 0.46875
0.21875 0.28125 0.46875
0.21875 0.21875 0.46875
0.15625 0.21875 0.46875
0.15625 0.15625 0.46875
0.21875 0.15625 0.46875
0.21875 0.15625 0.40625
0.15625 0.15625 0.40625
0.15625 0.21875 0.40625
0.21875 0.21875 0.40625
0.21875 0.21875 0.34375
0.21875 0.15625 0.34375
0.21875 0.15625 0.28125
0.21875 0.21875 0.28125
0.15625 0.21875 0.28125
0.15625 0.15625 0.28125
0.15625 0.15625 0.34375
0.15625 0.21875 0.34375
0.09375 0.21875 0.34375
0.09375 0.15625 0.34375
0.09375 0.15625 0.28125
0.09375 0.21875 0.28125
0.03125 0.21875 0.28125
0.03125 0.15625 0.28125
0.03125 0.15625 0.34375
0.03125 0.21875 0.34375
0.03125 0.21875 0.40625
0.03125 0.21875 0.46875
0.09375 0.21875 0.46875
0.09375 0.21875 0.40625
0.09375 0.15625 0.40625
0.09375 0.15625 0.46875
0.03125 0.15625 0.46875
0.03125 0.15625 0.40625
0.03125 0.09375 0.40625
0.03125 0.09375 0.46875
0.09375 0.09375 0.46875
0.09375 0.09375 0.40625
0.09375 0.03125 0.40625
0.09375 0.03125 0.46875
0.03125 0.03125 0.46875
0.03125 0.03125 0.40625
0.03125 0.03125 0.34375
0.03125 0.09375 0.34375
0.03125 0.09375 0.28125
0.03125 0.03125 0.28125
0.09375 0.03125 0.28125
0.09375 0.09375 0.28125
0.09375 0.09375 0.34375
0.09375 0.03125 0.34375
0.15625 0.03125 0.34375
0.15625 0.09375 0.34375
0.15625 0.09375 0.28125
0.15625 0.03125 0.28125
0.21875 0.03125 0.28125
0.21875 0.09375 0.28125
0.21875 0.09375 0.34375
0.21875 0.03125 0.34375
0.21875 0.03125 0.40625
0.15625 0.03125 0.40625
0.15625 0.09375 0.40625
0.21875 0.09375 0.40625
0.21875 0.09375 0.46875
0.15625 0.09375 0.46875
0.15625 0.03125 0.46875
0.21875 0.03125 0.46875
0.28125 0.03125 0.46875
0.28125 0.09375 0.46875
0.28125 0.09375 0.40625
0.28125 0.03125 0.40625
0.34375 0.03125 0.40625
0.34375 0.09375 0.40625
0.34375 0.09375 0.46875
0.34375 0.03125 0.46875
0.40625 0.03125 0.46875
0.40625 0.03125 0.40625
0.46875 0.03125 0.40625
0.46875 0.03125 0.46875
0.46875 0.09375 0.46875
0.46875 0.09375 0.40625
0.40625 0.09375 0.40625
0.40625 0.09375 0.46875
0.40625 0.15625 0.46875
0.40625 0.15625 0.40625
0.46875 0.15625 0.40625
0.46875 0.15625 0.46875
0.46875 0.21875 0.46875
0.46875 0.21875 0.40625
0.40625 0.21875 0.40625
0.40625 0.21875 0.46875
0.34375 0.21875 0.46875
0.28125 0.21875 0.46875
0.28125 0.15625 0.46875
0.34375 0.15625 0.46875
0.34375 0.15625 0.40625
0.28125 0.15625 0.40625
0.28125 0.21875 0.40625
0.34375 0.21875 0.40625
0.34375 0.21875 0.34375
0.28125 0.21875 0.34375
0.28125 0.15625 0.34375
0.34375 0.15625 0.34375
0.34375 0.15625 0.28125
0.28125 0.15625 0.28125
0.28125 0.21875 0.28125
0.34375 0.21875 0.28125
0.40625 0.21875 0.28125
0.40625 0.21875 0.34375
0.46875 0.21875 0.34375
0.46875 0.21875 0.28125
0.46875 0.15625 0.28125
0.46875 0.15625 0.34375
0.40625 0.15625 0.34375
0.40625 0.15625 0.28125
0.40625 0.09375 0.28125
0.40625 0.09375 0.34375
0.46875 0.09375 0.34375
0.46875 0.09375 0.28125
0.46875 0.03125 0.28125
0.46875 0.03125 0.34375
0.40625 0.03125 0.34375
0.40625 0.03125 0.28125
0.34375 0.03125 0.28125
0.34375 0.09375 0.28125
0.34375 0.09375 0.34375
0.34375 0.03125 0.34375
0.28125 0.03125 0.34375
0.28125 0.09375 0.34375
0.28125 0.09375 0.28125
0.28125 0.03125 0.28125
0.28125 0.03125 0.21875
0.28125 0.09375 0.21875
0.28125 0.09375 0.15625
0.28125 0.03125 0.15625
0.34375 0.03125 0.15625
0.34375 0.09375 0.15625
0.34375 0.09375 0.21875
0.34375 0.03125 0.21875
0.40625 0.03125 0.21875
0.40625 0.03125 0.15625
0.46875 0.03125 0.15625
0.46875 0.03125 0.21875
0.46875 0.09375 0.21875
0.46875 0.09375 0.15625
0.40625 0.09375 0.15625
0.40625 0.09375 0.21875
0.40625 0.15625 0.21875
0.40625 0.15625 0.15625
0.46875 0.15625 0.15625
0.46875 0.15625 0.21875
0.46875 0.21875 0.21875
0.46875 0.21875 0.15625
0.40625 0.21875 0.15625
0.40625 0.21875 0.21875
0.34375 0.21875 0.21875
0.28125 0.21875 0.21875
0.28125 0.15625 0.21875
0.34375 0.15625 0.21875
0.34375 0.15625 0.15625
0.28125 0.15625 0.15625
0.28125 0.21875 0.15625
0.34375 0.21875 0.15625
0.34375 0.21875 0.09375
0.28125 0.21875 0.09375
0.28125 0.15625 0.09375
0.34375 0.15625 0.09375
0.34375 0.15625 0.03125
0.28125 0.15625 0.03125
0.28125 0.21875 0.03125
0.34375 0.21875 0.03125
0.40625 0.21875 0.03125
0.40625 0.21875 0.09375
0.46875 0.21875 0.09375
0.46875 0.21875 0.03125
0.46875 0.15625 0.03125
0.46875 0.15625 0.09375
0.40625 0.15625 0.09375
0.40625 0.15625 0.03125
0.40625 0.09375 0.03125
0.40625 0.09375 0.09375
0.46875 0.09375 0.09375
0.46875 0.09375 0.03125
0.46875 0.03125 0.03125
0.46875 0.03125 0.09375
0.40625 0.03125 0.09375
0.40625 0.03125 0.03125
0.34375 0.03125 0.03125
0.34375 0.09375 0.03125
0.34375 0.09375 0.09375
0.34375 0.03125 0.09375
0.28125 0.03125 0.09375
0.28125 0.09375 0.09375
0.28125 0.09375 0.03125
0.28125 0.03125 0.03125
0.21875 0.03125 0.03125
0.15625 0.03125 0.03125
0.15625 0.09375 0.03125
0.21875 0.09375 0.03125
0.21875 0.09375 0.09375
0.15625 0.09375 0.09375
0.15625 0.03125 0.09375
0.21875 0.03125 0.09375
0.21875 0.03125 0.15625
0.21875 0.09375 0.15625
0.21875 0.09375 0.21875
0.21875 0.03125 0.21875
0.15625 0.03125 0.21875
0.15625 0.09375 0.21875
0.15625 0.09375 0.15625
0.15625 0.03125 0.15625
0.09375 0.03125 0.15625
0.09375 0.09375 0.15625
0.09375 0.09375 0.21875
0.09375 0.03125 0.21875
0.03125 0.03125 0.21875
0.03125 0.09375 0.21875
0.03125 0.09375 0.15625
0.03125 0.03125 0.15625
0.03125 0.03125 0.09375
0.03125 0.03125 0.03125
0.09375 0.03125 0.03125
0.09375 0.03125 0.09375
0.09375 0.09375 0.09375
0.09375 0.09375 0.03125
0.03125 0.09375 0.03125
0.03125 0.09375 0.09375
0.03125 0.15625 0.09375
0.03125 0.15625 0.03125
0.09375 0.15625 0.03125
0.09375 0.15625 0.09375
0.09375 0.21875 0.09375
0.09375 0.21875 0.03125
0.03125 0.21875 0.03125
0.03125 0.21875 0.09375
0.03125 0.21875 0.15625
0.03125 0.15625 0.15625
0.03125 0.15625 0.21875
0.03125 0.21875 0.21875
0.09375 0.21875 0.21875
0.09375 0.15625 0.21875
0.09375 0.15625 0.15625
0.09375 0.21875 0.15625
0.15625 0.21875 0.15625
0.15625 0.15625 0.15625
0.15625 0.15625 0.21875
0.15625 0.21875 0.21875
0.21875 0.21875 0.21875
0.21875 0.15625 0.21875
0.21875 0.15625 0.15625
0.21875 0.21875 0.15625
0.21875 0.21875 0.09375
0.15625 0.21875 0.09375
0.15625 0.15625 0.09375
0.21875 0.15625 0.09375
0.21875 0.15625 0.03125
0.15625 0.15625 0.03125
0.15625 0.21875 0.03125
0.21875 0.21875 0.03125
0.21875 0.28125 0.03125
0.15625 0.28125 0.03125
0.15625 0.34375 0.03125
0.21875 0.34375 0.03125
0.21875 0.34375 0.09375
0.15625 0.34375 0.09375
0.15625 0.28125 0.09375
0.21875 0.28125 0.09375
0.21875 0.28125 0.15625
0.21875 0.34375 0.15625
0.21875 0.34375 0.21875
0.21875 0.28125 0.21875
0.15625 0.28125 0.21875
0.15625 0.34375 0.21875
0.15625 0.34375 0.15625
0.15625 0.28125 0.15625
0.09375 0.28125 0.15625
0.09375 0.34375 0.15625
0.09375 0.34375 0.21875
0.09375 0.28125 0.21875
0.03125 0.28125 0.21875
0.03125 0.34375 0.21875
0.03125 0.34375 0.15625
0.03125 0.28125 0.15625
0.03125 0.28125 0.09375
0.03125 0.28125 0.03125
0.09375 0.28125 0.03125
0.09375 0.28125 0.09375
0.09375 0.34375 0.09375
0.09375 0.34375 0.03125
0.03125 0.34375 0.03125
0.03125 0.34375 0.09375
0.03125 0.40625 0.09375
0.03125 0.40625 0.03125
0.09375 0.40625 0.03125
0.09375 0.40625 0.09375
0.09375 0.46875 0.09375
0.09375 0.46875 0.03125
0.03125 0.46875 0.03125
0.03125 0.46875 0.09375
0.03125 0.46875 0.15625
0.03125 0.40625 0.15625
0.03125 0.40625 0.21875
0.03125 0.46875 0.21875
0.09375 0.46875 0.21875
0.09375 0.40625 0.21875
0.09375 0.40625 0.15625
0.09375 0.46875 0.15625
0.15625 0.46875 0.15625
0.15625 0.40625 0.15625
0.15625 0.40625 0.21875
0.15625 0.46875 0.21875
0.21875 0.46875 0.21875
0.21875 0.40625 0.21875
0.21875 0.40625 0.15625
0.21875 0.46875 0.15625
0.21875 0.46875 0.09375
0.15625 0.46875 0.09375
0.15625 0.40625 0.09375
0.21875 0.40625 0.09375
0.21875 0.40625 0.03125
0.15625 0.40625 0.03125
0.15625 0.46875 0.03125
0.21875 0.46875 0.03125
0.28125 0.46875 0.03125
0.28125 0.46875 0.09375
0.34375 0.46875 0.09375
0.34375 0.46875 0.03125
0.34375 0.40625 0.03125
0.34375 0.40625 0.09375
0.28125 0.40625 0.09375
0.28125 0.40625 0.03125
0.28125 0.34375 0.03125
0.34375 0.34375 0.03125
0.34375 0.28125 0.03125
0.28125 0.28125 0.03125
0.28125 0.28125 0.09375
0.34375 0.28125 0.09375
0.34375 0.34375 0.09375
0.28125 0.34375 0.09375
0.28125 0.34375 0.15625
0.34375 0.34375 0.15625
0.34375 0.28125 0.15625
0.28125 0.28125 0.15625
0.28125 0.28125 0.21875
0.34375 0.28125 0.21875
0.34375 0.34375 0.21875
0.28125 0.34375 0.21875
0.28125 0.40625 0.21875
0.28125 0.46875 0.21875
0.28125 0.46875 0.15625
0.28125 0.40625 0.15625
0.34375 0.40625 0.15625
0.34375 0.46875 0.15625
0.34375 0.46875 0.21875
0.34375 0.40625 0.21875
0.40625 0.40625 0.21875
0.40625 0.46875 0.21875
0.40625 0.46875 0.15625
0.40625 0.40625 0.15625
0.46875 0.40625 0.15625
0.46875 0.46875 0.15625
0.46875 0.46875 0.21875
0.46875 0.40625 0.21875
0.46875 0.34375 0.21875
0.40625 0.34375 0.21875
0.40625 0.28125 0.21875
0.46875 0.28125 0.21875
0.46875 0.28125 0.15625
0.40625 0.28125 0.15625
0.40625 0.34375 0.15625
0.46875 0.34375 0.15625
0.46875 0.34375 0.09375
0.40625 0.34375 0.09375
0.40625 0.28125 0.09375
0.46875 0.28125 0.09375
0.46875 0.28125 0.03125
0.40625 0.28125 0.03125
0.40625 0.34375 0.03125
0.46875 0.34375 0.03125
0.46875 0.40625 0.03125
0.46875 0.40625 0.09375
0.40625 0.40625 0.09375
0.40625 0.40625 0.03125
0.40625 0.46875 0.03125
0.40625 0.46875 0.09375
0.46875 0.46875 0.09375
0.46875 0.46875 0.03125
0.46875 0.46875 -0.03125
0.40625 0.46875 -0.03125
0.40625 0.40625 -0.03125
0.46875 0.40625 -0.03125
0.46875 0.40625 -0.09375
0.40625 0.40625 -0.09375
0.40625 0.46875 -0.09375
0.46875 0.46875 -0.09375
0.46875 0.46875 -0.15625
0.46875 0.40625 -0.15625
0.46875 0.40625 -0.21875
0.46875 0.46875 -0.21875
0.40625 0.46875 -0.21875
0.40625 0.40625 -0.21875
0.40625 0.40625 -0.15625
0.40625 0.46875 -0.15625
0.34375 0.46875 -0.15625
0.34375 0.40625 -0.15625
0.34375 0.40625 -0.21875
0.34375 0.46875 -0.21875
0.28125 0.46875 -0.21875
0.28125 0.40625 -0.21875
0.28125 0.40625 -0.15625
0.28125 0.46875 -0.15625
0.28125 0.46875 -0.09375
0.28125 0.46875 -0.03125
0.34375 0.46875 -0.03125
0.34375 0.46875 -0.09375
0.34375 0.40625 -0.09375
0.34375 0.40625 -0.03125
0.28125 0.40625 -0.03125
0.28125 0.40625 -0.09375
0.28125 0.34375 -0.09375
0.28125 0.34375 -0.03125
0.34375 0.34375 -0.03125
0.34375 0.34375 -0.09375
0.34375 0.28125 -0.09375
0.34375 0.28125 -0.03125
0.28125 0.28125 -0.03125
0.28125 0.28125 -0.09375
0.28125 0.28125 -0.15625
0.28125 0.34375 -0.15625
0.28125 0.34375 -0.21875
0.28125 0.28125 -0.21875
0.34375 0.28125 -0.21875
0.34375 0.34375 -0.21875
0.34375 0.34375 -0.15625
0.34375 0.28125 -0.15625
0.40625 0.28125 -0.15625
0.40625 0.34375 -0.15625
0.40625 0.34375 -0.21875
0.40625 0.28125 -0.21875
0.46875 0.28125 -0.21875
0.46875 0.34375 -0.21875
0.46875 0.34375 -0.15625
0.46875 0.28125 -0.15625
0.46875 0.28125 -0.09375
0.40625 0.28125 -0.09375
0.40625 0.34375 -0.09375
0.46875 0.34375 -0.09375
0.46875 0.34375 -0.03125
0.40625 0.34375 -0.03125
0.40625 0.28125 -0.03125
0.46875 0.28125 -0.03125
0.46875 0.21875 -0.03125
0.46875 0.15625 -0.03125
0.46875 0.15625 -0.09375
0.46875 0.21875 -0.09375
0.40625 0.21875 -0.09375
0.40625 0.15625 -0.09375
0.40625 0.15625 -0.03125
0.40625 0.21875 -0.03125
0.34375 0.21875 -0.03125
0.34375 0.21875 -0.09375
0.28125 0.21875 -0.09375
0.28125 0.21875 -0.03125
0.28125 0.15625 -0.03125
0.28125 0.15625 -0.09375
0.34375 0.15625 -0.09375
0.34375 0.15625 -0.03125
0.34375 0.09375 -0.03125
0.34375 0.09375 -0.09375
0.28125 0.09375 -0.09375
0.28125 0.09375 -0.03125
0.28125 0.03125 -0.03125
0.28125 0.03125 -0.09375
0.34375 0.03125 -0.09375
0.34375 0.03125 -0.03125
0.40625 0.03125 -0.03125
0.46875 0.03125 -0.03125
0.46875 0.09375 -0.03125
0.40625 0.09375 -0.03125
0.40625 0.09375 -0.09375
0.46875 0.09375 -0.09375
0.46875 0.03125 -0.09375
0.40625 0.03125 -0.09375
0.40625 0.03125 -0.15625
0.46875 0.03125 -0.15625
0.46875 0.09375 -0.15625
0.40625 0.09375 -0.15625
0.40625 0.09375 -0.21875
0.46875 0.09375 -0.21875
0.46875 0.03125 -0.21875
0.40625 0.03125 -0.21875
0.34375 0.03125 -0.21875
0.34375 0.03125 -0.15625
0.28125 0.03125 -0.15625
0.28125 0.03125 -0.21875
0.28125 0.09375 -0.21875
0.28125 0.09375 -0.15625
0.34375 0.09375 -0.15625
0.34375 0.09375 -0.21875
0.34375 0.15625 -0.21875
0.34375 0.15625 -0.15625
0.28125 0.15625 -0.15625
0.28125 0.15625 -0.21875
0.28125 0.21875 -0.21875
0.28125 0.21875 -0.15625
0.34375 0.21875 -0.15625
0.34375 0.21875 -0.21875
0.40625 0.21875 -0.21875
0.40625 0.15625 -0.21875
0.40625 0.15625 -0.15625
0.40625 0.21875 -0.15625
0.46875 0.21875 -0.15625
0.46875 0.15625 -0.15625
0.46875 0.15625 -0.21875
0.46875 0.21875 -0.21875
0.46875 0.21875 -0.28125
0.46875 0.15625 -0.28125
0.46875 0.15625 -0.34375
0.46875 0.21875 -0.34375
0.40625 0.21875 -0.34375
0.40625 0.15625 -0.34375
0.40625 0.15625 -0.28125
0.40625 0.21875 -0.28125
0.34375 0.21875 -0.28125
0.34375 0.21875 -0.34375
0.28125 0.21875 -0.34375
0.28125 0.21875 -0.28125
0.28125 0.15625 -0.28125
0.28125 0.15625 -0.34375
0.34375 0.15625 -0.34375
0.34375 0.15625 -0.28125
0.34375 0.09375 -0.28125
0.34375 0.09375 -0.34375
0.28125 0.09375 -0.34375
0.28125 0.09375 -0.28125
0.28125 0.03125 -0.28125
0.28125 0.03125 -0.34375
0.34375 0.03125 -0.34375
0.34375 0.03125 -0.28125
0.40625 0.03125 -0.28125
0.46875 0.03125 -0.28125
0.46875 0.09375 -0.28125
0.40625 0.09375 -0.28125
0.40625 0.09375 -0.34375
0.46875 0.09375 -0.34375
0.46875 0.03125 -0.34375
0.40625 0.03125 -0.34375
0.40625 0.03125 -0.40625
0.46875 0.03125 -0.40625
0.46875 0.09375 -0.40625
0.40625 0.09375 -0.40625
0.40625 0.09375 -0.46875
0.46875 0.09375 -0.46875
0.46875 0.03125 -0.46875
0.40625 0.03125 -0.46875
0.34375 0.03125 -0.46875
0.34375 0.03125 -0.40625
0.28125 0.03125 -0.40625
0.28125 0.03125 -0.46875
0.28125 0.09375 -0.46875
0.28125 0.09375 -0.40625
0.34375 0.09375 -0.40625
0.34375 0.09375 -0.46875
0.34375 0.15625 -0.46875
0.34375 0.15625 -0.40625
0.28125 0.15625 -0.40625
0.28125 0.15625 -0.46875
0.28125 0.21875 -0.46875
0.28125 0.21875 -0.40625
0.34375 0.21875 -0.40625
0.34375 0.21875 -0.46875
0.40625 0.21875 -0.46875
0.40625 0.15625 -0.46875
0.40625 0.15625 -0.40625
0.40625 0.21875 -0.40625
0.46875 0.21875 -0.40625
0.46875 0.15625 -0.40625
0.46875 0.15625 -0.46875
0.46875 0.21875 -0.46875
0.46875 0.28125 -0.46875
0.46875 0.28125 -0.40625
0.40625 0.28125 -0.40625
0.40625 0.28125 -0.46875
0.40625 0.34375 -0.46875
0.40625 0.34375 -0.40625
0.46875 0.34375 -0.40625
0.46875 0.34375 -0.46875
0.46875 0.40625 -0.46875
0.40625 0.40625 -0.46875
0.40625 0.46875 -0.46875
0.46875 0.46875 -0.46875
0.46875 0.46875 -0.40625
0.40625 0.46875 -0.40625
0.40625 0.40625 -0.40625
0.46875 0.40625 -0.40625
0.46875 0.40625 -0.34375
0.40625 0.40625 -0.34375
0.40625 0.46875 -0.34375
0.46875 0.46875 -0.34375
0.46875 0.46875 -0.28125
0.40625 0.46875 -0.28125
0.40625 0.40625 -0.28125
0.46875 0.40625 -0.28125
0.46875 0.34375 -0.28125
0.46875 0.28125 -0.28125
0.46875 0.28125 -0.34375
0.46875 0.34375 -0.34375
0.40625 0.34375 -0.34375
0.40625 0.28125 -0.34375
0.40625 0.28125 -0.28125
0.40625 0.34375 -0.28125
0.34375 0.34375 -0.28125
0.34375 0.28125 -0.28125
0.34375 0.28125 -0.34375
0.34375 0.34375 -0.34375
0.28125 0.34375 -0.34375
0.28125 0.28125 -0.34375
0.28125 0.28125 -0.28125
0.28125 0.34375 -0.28125
0.28125 0.40625 -0.28125
0.34375 0.40625 -0.28125
0.34375 0.46875 -0.28125
0.28125 0.46875 -0.28125
0.28125 0.46875 -0.34375
0.34375 0.46875 -0.34375
0.34375 0.40625 -0.34375
0.28125 0.40625 -0.34375
0.28125 0.40625 -0.40625
0.34375 0.40625 -0.40625
0.34375 0.46875 -0.40625
0.28125 0.46875 -0.40625
0.28125 0.46875 -0.46875
0.34375 0.46875 -0.46875
0.34375 0.40625 -0.46875
0.28125 0.40625 -0.46875
0.28125 0.34375 -0.46875
0.28125 0.34375 -0.40625
0.34375 0.34375 -0.40625
0.34375 0.34375 -0.46875
0.34375 0.28125 -0.46875
0.34375 0.28125 -0.40625
0.28125 0.28125 -0.40625
0.28125 0.28125 -0.46875
0.21875 0.28125 -0.46875
0.21875 0.28125 -0.40625
0.15625 0.28125 -0.40625
0.15625 0.28125 -0.46875
0.15625 0.34375 -0.46875
0.15625 0.34375 -0.40625
0.21875 0.34375 -0.40625
0.21875 0.34375 -0.46875
0.21875 0.40625 -0.46875
0.15625 0.40625 -0.46875
0.15625 0.46875 -0.46875
0.21875 0.46875 -0.46875
0.21875 0.46875 -0.40625
0.15625 0.46875 -0.40625
0.15625 0.40625 -0.40625
0.21875 0.40625 -0.40625
0.21875 0.40625 -0.34375
0.15625 0.40625 -0.34375
0.15625 0.46875 -0.34375
0.21875 0.46875 -0.34375
0.21875 0.46875 -0.28125
0.15625 0.46875 -0.28125
0.15625 0.40625 -0.28125
0.21875 0.40625 -0.28125
0.21875 0.34375 -0.28125
0.21875 0.28125 -0.28125
0.21875 0.28125 -0.34375
0.21875 0.34375 -0.34375
0.15625 0.34375 -0.34375
0.15625 0.28125 -0.34375
0.15625 0.28125 -0.28125
0.15625 0.34375 -0.28125
0.09375 0.34375 -0.28125
0.09375 0.28125 -0.28125
0.09375 0.28125 -0.34375
0.09375 0.34375 -0.34375
0.03125 0.34375 -0.34375
0.03125 0.28125 -0.34375
0.03125 0.28125 -0.28125
0.03125 0.34375 -0.28125
0.03125 0.40625 -0.28125
0.09375 0.40625 -0.28125
0.09375 0.46875 -0.28125
0.03125 0.46875 -0.28125
0.03125 0.46875 -0.34375
0.09375 0.46875 -0.34375
0.09375 0.40625 -0.34375
0.03125 0.40625 -0.34375
0.03125 0.40625 -0.40625
0.09375 0.40625 -0.40625
0.09375 0.46875 -0.40625
0.03125 0.46875 -0.40625
0.03125 0.46875 -0.46875
0.09375 0.46875 -0.46875
0.09375 0.40625 -0.46875
0.03125 0.40625 -0.46875
0.03125 0.34375 -0.46875
0.03125 0.34375 -0.40625
0.09375 0.34375 -0.40625
0.09375 0.34375 -0.46875
0.09375 0.28125 -0.46875
0.09375 0.28125 -0.40625
0.03125 0.28125 -0.40625
0.03125 0.28125 -0.46875
0.03125 0.21875 -0.46875
0.03125 0.15625 -0.46875
0.03125 0.15625 -0.40625
0.03125 0.21875 -0.40625
0.09375 0.21875 -0.40625
0.09375 0.15625 -0.40625
0.09375 0.15625 -0.46875
0.09375 0.21875 -0.46875
0.15625 0.21875 -0.46875
0.15625 0.21875 -0.40625
0.21875 0.21875 -0.40625
0.21875 0.21875 -0.46875
0.21875 0.15625 -0.46875
0.21875 0.15625 -0.40625
0.15625 0.15625 -0.40625
0.15625 0.15625 -0.46875
0.15625 0.09375 -0.46875
0.15625 0.09375 -0.40625
0.21875 0.09375 -0.40625
0.21875 0.09375 -0.46875
0.21875 0.03125 -0.46875
0.21875 0.03125 -0.40625
0.15625 0.03125 -0.40625
0.15625 0.03125 -0.46875
0.09375 0.03125 -0.46875
0.03125 0.03125 -0.46875
0.03125 0.09375 -0.46875
0.09375 0.09375 -0.46875
0.09375 0.09375 -0.40625
0.03125 0.09375 -0.40625
0.03125 0.03125 -0.40625
0.09375 0.03125 -0.40625
0.09375 0.03125 -0.34375
0.03125 0.03125 -0.34375
0.03125 0.09375 -0.34375
0.09375 0.09375 -0.34375
0.09375 0.09375 -0.28125
0.03125 0.09375 -0.28125
0.03125 0.03125 -0.28125
0.09375 0.03125 -0.28125
0.15625 0.03125 -0.28125
0.15625 0.03125 -0.34375
0.21875 0.03125 -0.34375
0.21875 0.03125 -0.28125
0.21875 0.09375 -0.28125
0.21875 0.09375 -0.34375
0.15625 0.09375 -0.34375
0.15625 0.09375 -0.28125
0.15625 0.15625 -0.28125
0.15625 0.15625 -0.34375
0.21875 0.15625 -0.34375
0.21875 0.15625 -0.28125
0.21875 0.21875 -0.28125
0.21875 0.21875 -0.34375
0.15625 0.21875 -0.34375
0.15625 0.21875 -0.28125
0.09375 0.21875 -0.28125
0.09375 0.15625 -0.28125
0.09375 0.15625 -0.34375
0.09375 0.21875 -0.34375
0.03125 0.21875 -0.34375
0.03125 0.15625 -0.34375
0.03125 0.15625 -0.28125
0.03125 0.21875 -0.28125
0.03125 0.21875 -0.21875
0.03125 0.15625 -0.21875
0.03125 0.15625 -0.15625
0.03125 0.21875 -0.15625
0.09375 0.21875 -0.15625
0.09375 0.15625 -0.15625
0.09375 0.15625 -0.21875
0.09375 0.21875 -0.21875
0.15625 0.21875 -0.21875
0.15625 0.21875 -0.15625
0.21875 0.21875 -0.15625
